1,2,1,2023
2,1,2,2011
3,2,2,2019
4,2,3,2014
5,1,3,2021
6,1,4,2012
7,2,4,2013
8,1,4,2022
9,2,5,2012
10,2,5,2013
11,1,5,2015
12,1,5,2018
13,1,6,2013
14,1,6,2015
15,2,6,2016
16,2,6,2021
17,1,6,2023
18,2,6,2027
19,1,7,2023
20,1,8,2015
21,2,8,2020
22,2,9,2021
23,1,9,2022
24,1,10,2022
25,2,10,2027
26,1,11,2013
27,2,11,2016
28,1,11,2023
29,2,11,2025
30,1,11,2027
31,2,12,2011
32,2,12,2015
33,1,12,2024
34,1,12,2026
35,1,12,2027
36,2,13,2027
37,1,14,2016
38,1,14,2018
39,1,15,2011
40,2,15,2024
41,1,16,2018
42,2,16,2024
43,1,16,2025
44,2,16,2027
45,1,17,2019
46,1,17,2021
47,2,17,2023
48,1,17,2027
49,2,18,2012
50,2,18,2013
51,1,18,2014
52,1,18,2016
53,2,18,2022
54,1,18,2024
55,1,19,2015
56,1,20,2016
57,1,22,2013
58,2,22,2017
59,1,23,2015
60,1,23,2021
61,1,23,2023
62,2,23,2024
63,1,23,2027
64,2,24,2011
65,1,24,2012
66,1,24,2013
67,2,24,2021
68,1,25,2016
69,1,26,2013
70,1,27,2014
71,2,27,2021
72,1,27,2026
73,2,28,2011
74,1,28,2016
75,2,28,2023
76,2,29,2010
77,1,29,2013
78,1,29,2023
79,1,29,2024
80,2,29,2027
81,2,30,2013
82,1,30,2025
83,1,30,2026
84,2,30,2027
85,2,31,2027
86,1,32,2019
87,1,33,2014
88,1,33,2015
89,2,33,2021
90,2,33,2022
91,1,34,2012
92,1,34,2024
93,2,34,2025
94,1,34,2027
95,1,35,2013
96,2,35,2015
97,2,35,2018
98,1,35,2021
99,1,35,2027
100,2,36,2013
101,1,36,2014
102,2,36,2015
103,2,36,2021
104,1,36,2024
105,1,36,2027
106,1,37,2020
107,1,38,2013
108,2,38,2027
109,1,39,2021
110,2,39,2024
111,2,40,2013
112,1,40,2024
113,2,40,2027
114,1,41,2011
115,1,41,2016
116,1,41,2022
117,2,41,2026
118,2,41,2027
119,2,42,2011
120,1,42,2015
121,2,42,2017
122,1,42,2024
123,1,42,2026
124,1,42,2027
125,1,43,2011
126,1,44,2012
127,2,44,2013
128,2,45,2010
129,2,45,2014
130,1,45,2015
131,1,46,2016
132,2,46,2017
133,1,46,2023
134,1,46,2025
135,1,47,2013
136,1,47,2014
137,2,47,2019
138,2,47,2021
139,1,47,2023
140,1,48,2012
141,1,48,2013
142,1,48,2015
143,2,48,2018
144,2,48,2022
145,1,48,2024
146,2,49,2015
147,1,50,2013
148,2,50,2018
149,2,51,2016
150,1,51,2021
151,2,52,2014
152,1,52,2016
153,1,52,2023
154,2,53,2013
155,2,53,2020
156,2,53,2021
157,1,53,2025
158,1,53,2027
159,1,54,2013
160,1,54,2015
161,2,54,2016
162,2,54,2021
163,1,54,2024
164,1,54,2027
165,1,55,2013
166,1,56,2015
167,2,56,2016
168,1,57,2011
169,1,57,2026
170,2,57,2027
171,2,58,2011
172,1,58,2017
173,1,58,2024
174,2,58,2027
175,2,59,2010
176,1,59,2021
177,2,59,2024
178,1,59,2026
179,1,59,2027
180,1,60,2019
181,2,60,2023
182,1,60,2024
183,2,60,2025
184,1,60,2026
185,1,60,2027
186,2,61,2019
187,1,62,2011
188,2,62,2021
189,1,63,2014
190,1,63,2022
191,2,63,2024
192,2,64,2012
193,1,64,2013
194,1,64,2015
195,1,64,2019
196,1,65,2012
197,2,65,2015
198,2,65,2018
199,1,65,2019
200,1,65,2021
201,2,66,2013
202,1,66,2015
203,2,66,2019
204,2,66,2020
205,1,66,2021
206,1,66,2027
207,1,67,2013
208,2,68,2021
209,1,68,2027
210,1,69,2015
211,1,69,2024
212,2,69,2027
213,1,70,2013
214,1,70,2014
215,2,70,2016
216,2,70,2018
217,1,71,2013
218,2,71,2015
219,1,71,2019
220,2,71,2026
221,1,71,2027
222,1,72,2011
223,1,72,2013
224,1,72,2016
225,2,72,2021
226,2,73,2013
227,1,74,2010
228,1,74,2019
229,1,75,2017
230,2,75,2024
231,1,75,2025
232,2,76,2011
233,2,76,2023
234,1,76,2025
235,1,76,2027
236,2,77,2014
237,1,77,2016
238,2,77,2019
239,1,77,2021
240,1,77,2022
241,2,78,2011
242,2,78,2012
243,2,78,2013
244,1,78,2015
245,1,78,2017
246,1,78,2024
247,1,79,2012
248,2,80,2013
249,1,80,2018
250,1,81,2017
251,2,81,2018
252,2,82,2013
253,1,82,2017
254,1,82,2019
255,2,82,2020
256,2,83,2014
257,1,83,2017
258,1,83,2018
259,1,83,2019
260,1,83,2027
261,1,84,2013
262,1,84,2014
263,2,84,2016
264,2,84,2019
265,2,84,2021
266,1,84,2022
267,1,85,2022
268,2,86,2019
269,1,86,2021
270,2,87,2011
271,1,87,2016
272,1,87,2026
273,1,88,2013
274,2,88,2015
275,2,88,2016
276,1,88,2017
277,1,89,2010
278,1,89,2013
279,2,89,2019
280,2,89,2021
281,1,90,2014
282,2,90,2016
283,1,90,2018
284,1,90,2019
285,2,90,2023
286,1,90,2025
287,2,91,2019
288,1,92,2014
289,1,92,2021
290,2,93,2021
291,2,93,2022
292,1,93,2024
293,1,94,2011
294,2,94,2012
295,1,94,2014
296,1,94,2015
297,1,95,2018
298,2,95,2021
299,1,95,2022
300,2,95,2023
301,1,95,2027
302,2,96,2011
303,1,96,2013
304,1,96,2014
305,2,96,2019
306,1,96,2020
307,2,96,2021
308,1,97,2015
309,2,98,2013
310,1,98,2015
